,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),자산,부채,순자산액,가구주 은퇴여부,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,입주형태,수도권여부,가구주 직업(대분류),가구주 종사상지위,부실가계
64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,14004,0.0,14004.0,1,1,0,0,0,1,0,0,0
65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,72260,24000.0,48260.0,1,0,1,1,0,1,0,0,0
66,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,95800,0.0,95800.0,0,0,0,1,1,1,0,0,0
67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,9646,4.0,9642.0,1,1,1,0,0,1,0,0,0
68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1.0,0,0,124791,3112.0,121679.0,1,0,1,1,1,1,0,0,0
69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,0,3125,2000.0,1125.0,1,0,0,1,0,0,1,0,0
70,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,16066,0.0,16066.0,0,0,0,1,1,0,0,0,0
71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,8075,0.0,8075.0,1,1,1,0,0,0,0,0,1
72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,4030,0.0,4030.0,0,0,0,0,1,0,0,0,0
73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,8725,0.0,8725.0,1,0,0,0,1,0,1,0,0
74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,79739,3000.0,76739.0,1,0,0,1,1,1,1,0,0
75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,16500,300.0,16200.0,1,0,0,1,1,1,0,1,0
76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,1364,0.0,1364.0,1,1,0,0,0,1,0,0,0
77,0,0.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,13550,9000.0,4550.0,1,0,0,1,0,1,0,0,0
78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,361,2182.0,-1821.0,1,1,0,0,0,1,0,0,0
79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,5240,0.0,5240.0,1,1,0,0,0,1,0,0,0
80,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,68105,0.0,68105.0,0,1,0,1,1,1,0,0,0
81,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,4045,1560.0,2485.0,1,1,0,0,0,1,0,0,0
82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,356510,12000.0,344510.0,0,1,1,0,1,1,0,0,0
83,0,0.0,1,0.0,1,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,10798,8050.0,2748.0,1,1,0,0,0,0,0,0,0
84,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1.0,0,0,43625,8600.0,35025.0,1,0,1,1,1,0,0,0,1
85,0,0.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,9472,5200.0,4272.0,1,0,1,1,0,0,0,1,0
86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,10000,0.0,10000.0,1,0,0,1,1,0,0,0,0
87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,8860,0.0,8860.0,1,1,0,0,1,0,0,0,0
88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,6360,0.0,6360.0,1,1,1,0,0,0,0,0,0
89,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,78774,5750.0,73024.0,1,1,0,1,1,0,0,1,0
90,0,0.0,1,0.0,1,1.0,0,0.0,0,0.0,0,0,1,1.0,0,1,99636,55500.0,44136.0,1,0,1,1,0,1,0,0,0
91,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,23015,4500.0,18515.0,1,1,0,1,1,1,0,0,0
92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,2010,0.0,2010.0,1,1,0,1,0,1,0,0,0
93,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0,0,1.0,0,0,21878,8300.0,13578.0,1,0,1,0,0,1,0,0,1
94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,87240,0.0,87240.0,1,0,0,1,1,1,0,1,0
95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,172500,10500.0,162000.0,1,0,1,1,1,1,0,0,0
96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,1620,25.0,1595.0,0,0,0,0,0,1,0,0,0
97,0,0.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,14200,8000.0,6200.0,1,1,0,0,0,1,0,0,0
