,부채,금융부채,담보대출,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_부채상환,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출용도_기타 용도 등,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),담보대출_대출기관_보험회사,담보대출_대출기관_기타 기관 등,담보대출_상환방법_만기일시,담보대출_상환방법_원금 분할 상환,담보대출_상환방법_원리금 분할 상환,담보대출_상환방법_원리금 분할 및 일부만기 상환,담보대출_상환방법_기타 상환방법,담보대출_담보형태_거주 주택,담보대출_담보형태_거주 주택 이외 부동산,담보대출_담보형태_예적금 보험 펀드 채권 등,"담보대출_담보형태_기타(전세권, 자동차 등)",부동산 담보대출,부동산 이외 담보대출,신용대출,신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_부채상환,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출용도_기타 용도 등,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출기관_보험회사,신용대출_대출기관_기타 기관 등,신용대출_상환방법_만기일시,신용대출_상환방법_원금 분할 상환,신용대출_상환방법_원리금 분할 상환,신용대출_상환방법_원리금 분할 및 일부만기 상환,신용대출_상환방법_기타 상환방법,신용대출_대출종류_신용대출,신용대출_대출종류_마이너스통장,신용카드 관련 대출,외상 및 할부미상환액,곗탄후 불입금액,개인 직장에서 빌린 돈_2017년 부터,임대보증금,원리금상환액,원금상환액,이자지급액,순자산액,경상소득(보완),근로소득(보완),사업소득(보완),재산소득(보완),공적 이전소득(보완),사적 이전소득(조사),이전소득(보완)[공적 이전소득(보완)+사적 이전소득(조사)],처분가능소득(보완)[경상소득(보완)-비소비지출(보완)],소비지출,식료품(외식비포함),주거비,교육비(보육료포함),의료비,교통비,통신비,기타 소비지출,"지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)",비소비지출(보완),세금(보완),공적연금·사회보험료(보완),가구간 이전지출(조사),비영리단체 이전지출(조사),연간지급이자(조사),여유자금 운용 계획,금융자산 투자 시 운용방법,금융자산 투자 시 고려사항,거주지 주택가격 전망,여유자금 부동산 투자 여부
7225,2400.0,2400.0,2400.0,0,0.0,2400,0,0.0,0,0.0,2400.0,0,0.0,0,0,2400.0,0,0.0,0.0,0,0,0.0,0.0,2400,0.0,2400.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,110,20,90,9690.0,5010,4979,13,18,0,0,0,4087,1701,720,96,0,20,150,120,595,2624,923,214,519,100,0,90,저축과 금융자산 투자,은행 예금,안전성,변화 없을 것이다,아니오
7226,127500.0,113000.0,113000.0,9000,104000.0,0,0,0.0,0,0.0,113000.0,0,0.0,0,0,104000.0,0,9000.0,0.0,0,9000,104000.0,0.0,0,113000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,14500.0,6720,3000,3720,170656.0,10109,7059,0,3050,0,0,0,4212,3374,1200,240,1200,10,0,264,460,9271,5897,173,604,100,1300,3720,부동산 구입,저축은행 예금,안전성,상승할 것이다,예
7227,5590.0,5290.0,3200.0,3200,0.0,0,0,0.0,0,0.0,3200.0,0,0.0,0,0,0.0,0,0.0,3200.0,0,3200,0.0,0.0,0,3200.0,0.0,2000.0,0,0.0,0,0,0,0,2000,2000.0,0,0,0,0,0.0,0,0,0,2000,2000.0,0,0,90,0,0,300.0,1021,850,171,83993.0,9908,8222,540,986,0,160,160,8413,1796,400,300,0,100,480,181,335,3291,1495,918,406,0,0,171,기타,수익증권(펀드 등 간접투자),안전성,상승할 것이다,아니오
7229,150.0,150.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,150,0,0,0.0,200,200,0,204800.0,1513,0,1500,13,0,0,0,737,2014,840,360,0,300,200,60,254,2790,776,451,325,0,0,0,저축과 금융자산 투자,채권(직접투자),현금화 가능성,상승할 것이다,예
7230,28486.0,28486.0,28286.0,28286,0.0,0,0,0.0,0,0.0,28286.0,0,0.0,0,0,0.0,28286,0.0,0.0,0,28286,0.0,0.0,0,28286.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,200,0,0,0.0,1635,1560,75,133114.0,7325,0,7200,15,110,0,110,6066,2240,1000,240,400,100,150,150,200,3499,1259,201,783,200,0,75,저축과 금융자산 투자,주식(직접투자),안전성,변화 없을 것이다,예
7231,4320.0,4320.0,4320.0,4320,0.0,0,0,0.0,0,0.0,4320.0,0,0.0,0,0,0.0,0,0.0,4320.0,0,4320,0.0,0.0,0,4320.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,600,360,240,39800.0,5929,5605,0,2,322,0,322,4637,3024,1350,340,0,240,360,84,650,4316,1292,261,491,300,0,240,부동산 구입,은행 예금,안전성,상승할 것이다,예
7236,101500.0,96500.0,90000.0,20000,70000.0,0,0,0.0,0,0.0,90000.0,0,0.0,0,0,0.0,0,0.0,90000.0,0,20000,70000.0,0.0,0,90000.0,0.0,500.0,0,0.0,0,500,0,0,0,500.0,0,0,0,0,0.0,0,0,0,500,0.0,500,0,0,0,6000,5000.0,4490,0,4490,26730.0,6242,2067,0,2968,487,720,1207,1431,870,360,240,0,50,24,36,160,5681,4811,245,76,0,0,4490,부채 상환,은행 예금,현금화 가능성,변화 없을 것이다,아니오
7240,23000.0,23000.0,23000.0,23000,0.0,0,0,0.0,0,0.0,23000.0,0,0.0,0,0,0.0,23000,0.0,0.0,0,23000,0.0,0.0,0,23000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,160,0,160,23350.0,5273,5257,0,16,0,0,0,4362,3990,616,240,500,240,300,264,1830,4901,911,259,432,50,10,160,부채 상환,비은행금융기관 예금,안전성,하락할 것이다,예
7241,3500.0,3500.0,3500.0,3500,0.0,0,0,0.0,0,0.0,3500.0,0,0.0,0,0,0.0,0,3500.0,0.0,0,3500,0.0,0.0,0,3500.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,500,420,80,54000.0,7605,7111,122,372,0,0,0,6543,2261,510,196,380,284,228,193,470,3323,1062,331,553,20,78,80,저축과 금융자산 투자,비은행금융기관 예금,수익성,변화 없을 것이다,예
7242,2572.0,2572.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1212.0,0,0.0,0,0,0,1212,0,200.0,762,250,0,0,0.0,0,1212,0,0,1212.0,0,360,0,0,1000,0.0,1467,964,503,8.0,2538,0,1100,2,656,780,1436,1858,1730,600,468,0,40,192,120,310,2410,680,1,126,50,0,503,부채 상환,은행 예금,안전성,변화 없을 것이다,예
7244,700.0,700.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,700,0,0,0,0.0,28,0,28,1796.0,3501,3500,0,1,0,0,0,3175,1585,600,360,0,50,120,120,335,1911,326,1,277,20,0,28,부동산 구입,저축은행 예금,안전성,변화 없을 것이다,예
