,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),자산,부채,순자산액,가구원수,가구주 만나이,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,가구주 은퇴여부,입주형태,수도권여부,가구주 직업(대분류),가구주 종사상지위,부실가계
62,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,5015,0.0,5015,1,82,1,0,0,1,0,1,1,0,0
63,1,0.0,0,0.0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,25626,12700.0,12926,4,57,0,0,1,1,1,1,0,1,0
64,0,1.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,263830,102550.0,161280,4,49,0,1,1,1,0,1,0,1,0
65,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,1,1,0,0,23950,8260.0,15690,2,47,1,0,0,1,1,1,0,0,0
66,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,12060,60.0,12000,1,55,1,0,0,1,0,1,0,1,0
67,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,69800,24000.0,45800,3,47,0,1,1,1,0,1,0,1,0
68,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,77100,0.0,77100,2,83,0,0,1,0,1,1,0,0,0
69,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4440,0.0,4440,1,42,1,1,0,1,0,1,0,1,0
70,0,0.0,0,0.0,1,1.0,0,0.0,0,0,0,0,0,0,0,0,123872,9350.0,114522,4,59,0,1,1,1,1,1,0,1,0
71,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2540,460.0,2080,5,52,0,0,1,1,0,0,0,0,0
72,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,20770,0.0,20770,2,74,0,0,1,0,1,0,0,0,0
73,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0,1,0,0,8395,1600.0,6795,1,25,1,1,0,1,0,0,0,1,0
74,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,25,0.0,25,1,71,0,0,0,0,0,0,0,0,0
75,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,8695,0.0,8695,2,67,0,0,1,1,1,0,1,0,0
76,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,66218,80.0,66138,3,65,0,0,1,1,1,1,1,1,0
77,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,16650,5000.0,11650,2,68,0,0,1,1,1,1,0,0,0
78,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1480,2500.0,-1020,1,60,1,0,0,1,0,1,0,1,1
79,0,0.0,1,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,13240,9000.0,4240,3,63,0,0,1,1,0,1,0,1,0
80,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,8510,0.0,8510,1,90,1,0,0,0,1,1,0,0,0
81,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,330,2422.0,-2092,4,39,1,0,0,1,0,1,0,0,0
82,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4720,0.0,4720,1,43,1,0,0,1,0,1,0,1,0
83,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,6513,2350.0,4163,2,26,1,0,1,1,0,1,0,1,0
84,0,0.0,1,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,53854,1000.0,52854,5,44,0,1,1,1,0,1,0,1,0
85,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,55200,0.0,55200,3,74,0,0,1,1,1,1,1,1,0
86,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,96215,0.0,96215,2,66,0,1,1,0,1,1,0,0,0
